# Operational distributed loads, long format (time x station)
# Source     : demo amplitudes scaled in time. Spatial grid aligned with
#              blade_spanwise_distribution.dat (spanwise_pos, radial_pos).
# Convention : SI units (s, m, N, N*m). Per-unit-span quantities use "/m".
# Datum      : section frame; q_y is flapwise, q_z is edgewise, m_x is twist per unit span.
# Layout     : long format. Each row is one (t, z) sample; t advances slowest.
#
# Schema (in column order):
#   t_s            [s]       time
#   spanwise_pos   [m]       spanwise position z
#   radial_pos     [m]       radial position r from rotor centre
#   q_y_Npm        [N/m]     distributed flapwise force per unit span
#   q_z_Npm        [N/m]     distributed edgewise force per unit span
#   m_x_Nmpm       [N*m/m]   distributed twisting moment per unit span
#
# units: s, m, m, N/m, N/m, N*m/m
       t_s   spanwise_pos     radial_pos          q_y_Npm          q_z_Npm         m_x_Nmpm
     0.000       9.405000    10.78000000           34.843           -5.247            1.805
     0.000       9.460000    10.83500000           33.728           -5.061            1.723
     0.000       9.515000    10.89000000           32.704           -4.884            1.642
     0.000       9.570000    10.94500000           31.804           -4.721            1.563
     0.000       9.625000    11.00000000           31.152           -4.586            1.490
     0.500       0.000000     1.37500000         1029.629          204.533          110.472
     0.500       0.055000     1.43000000         1022.793          203.301          109.864
     0.500       0.110000     1.48500000         1015.966          202.069          109.256
     0.500       0.165000     1.54000000         1009.149          200.839          108.648
     0.500       0.220000     1.59500000         1002.343          199.609          108.040
     0.500       0.275000     1.65000000          995.546          198.381          107.432
     0.500       0.330000     1.70500000          988.759          197.154          106.825
     0.500       0.385000     1.76000000          981.982          195.928          106.217
     0.500       0.440000     1.81500000          975.215          194.703          105.610
     0.500       0.495000     1.87000000          968.458          193.479          105.003
     0.500       0.550000     1.92500000          961.711          192.256          104.396
     0.500       0.605000     1.98000000          954.975          191.034          103.790
     0.500       0.660000     2.03500000          948.249          189.814          103.183
     0.500       0.715000     2.09000000          941.533          188.594          102.577
     0.500       0.770000     2.14500000          934.828          187.376          101.971
     0.500       0.825000     2.20000000          928.133          186.159          101.365
     0.500       0.880000     2.25500000          921.448          184.943          100.759
     0.500       0.935000     2.31000000          914.774          183.728          100.154
     0.500       0.990000     2.36500000          908.110          182.514           99.548
     0.500       1.045000     2.42000000          901.457          181.301           98.943
     0.500       1.100000     2.47500000          894.815          180.090           98.338
     0.500       1.155000     2.53000000          888.184          178.880           97.734
     0.500       1.210000     2.58500000          881.563          177.670           97.129
     0.500       1.265000     2.64000000          874.953          176.463           96.525
     0.500       1.320000     2.69500000          868.354          175.256           95.921
     0.500       1.375000     2.75000000          861.765          174.050           95.317
     0.500       1.430000     2.80500000          855.188          172.846           94.713
     0.500       1.485000     2.86000000          848.622          171.643           94.110
     0.500       1.540000     2.91500000          842.067          170.441           93.506
     0.500       1.595000     2.97000000          835.523          169.240           92.903
     0.500       1.650000     3.02500000          828.990          168.041           92.300
     0.500       1.705000     3.08000000          822.468          166.843           91.697
     0.500       1.760000     3.13500000          815.958          165.646           91.095
     0.500       1.815000     3.19000000          809.459          164.450           90.493
     0.500       1.870000     3.24500000          802.972          163.256           89.891
     0.500       1.925000     3.30000000          796.496          162.063           89.289
     0.500       1.980000     3.35500000          790.031          160.871           88.687
     0.500       2.035000     3.41000000          783.579          159.680           88.086
     0.500       2.090000     3.46500000          777.137          158.491           87.484
     0.500       2.145000     3.52000000          770.708          157.303           86.883
     0.500       2.200000     3.57500000          764.291          156.116           86.283
     0.500       2.255000     3.63000000          757.885          154.931           85.682
     0.500       2.310000     3.68500000          751.491          153.747           85.082
     0.500       2.365000     3.74000000          745.109          152.564           84.482
     0.500       2.420000     3.79500000          738.740          151.383           83.882
     0.500       2.475000     3.85000000          732.382          150.203           83.282
     0.500       2.530000     3.90500000          726.037          149.024           82.683
     0.500       2.585000     3.96000000          719.704          147.847           82.084
     0.500       2.640000     4.01500000          713.383          146.671           81.485
     0.500       2.695000     4.07000000          707.075          145.497           80.886
     0.500       2.750000     4.12500000          700.779          144.323           80.287
     0.500       2.805000     4.18000000          694.496          143.152           79.689
     0.500       2.860000     4.23500000          688.226          141.981           79.091
     0.500       2.915000     4.29000000          681.968          140.813           78.494
     0.500       2.970000     4.34500000          675.723          139.645           77.896
     0.500       3.025000     4.40000000          669.491          138.479           77.299
     0.500       3.080000     4.45500000          663.272          137.315           76.702
     0.500       3.135000     4.51000000          657.066          136.152           76.105
     0.500       3.190000     4.56500000          650.873          134.990           75.508
     0.500       3.245000     4.62000000          644.693          133.830           74.912
     0.500       3.300000     4.67500000          638.527          132.671           74.316
     0.500       3.355000     4.73000000          632.374          131.514           73.721
     0.500       3.410000     4.78500000          626.234          130.359           73.125
     0.500       3.465000     4.84000000          620.108          129.205           72.530
     0.500       3.520000     4.89500000          613.996          128.052           71.935
     0.500       3.575000     4.95000000          607.898          126.901           71.340
     0.500       3.630000     5.00500000          601.813          125.752           70.746
     0.500       3.685000     5.06000000          595.742          124.604           70.152
     0.500       3.740000     5.11500000          589.685          123.458           69.558
     0.500       3.795000     5.17000000          583.643          122.313           68.964
     0.500       3.850000     5.22500000          577.615          121.170           68.371
     0.500       3.905000     5.28000000          571.601          120.029           67.778
     0.500       3.960000     5.33500000          565.601          118.889           67.185
     0.500       4.015000     5.39000000          559.616          117.751           66.593
     0.500       4.070000     5.44500000          553.646          116.615           66.001
     0.500       4.125000     5.50000000          547.690          115.480           65.409
     0.500       4.180000     5.55500000          541.749          114.347           64.817
     0.500       4.235000     5.61000000          535.823          113.216           64.226
     0.500       4.290000     5.66500000          529.913          112.087           63.635
     0.500       4.345000     5.72000000          524.017          110.959           63.044
     0.500       4.400000     5.77500000          518.137          109.833           62.454
     0.500       4.455000     5.83000000          512.273          108.709           61.864
     0.500       4.510000     5.88500000          506.424          107.586           61.274
     0.500       4.565000     5.94000000          500.590          106.466           60.685
     0.500       4.620000     5.99500000          494.773          105.347           60.096
     0.500       4.675000     6.05000000          488.971          104.230           59.507
     0.500       4.730000     6.10500000          483.186          103.115           58.918
     0.500       4.785000     6.16000000          477.416          102.002           58.330
     0.500       4.840000     6.21500000          471.663          100.890           57.743
     0.500       4.895000     6.27000000          465.927           99.781           57.155
     0.500       4.950000     6.32500000          460.207           98.673           56.568
     0.500       5.005000     6.38000000          454.504           97.568           55.981
     0.500       5.060000     6.43500000          448.818           96.464           55.395
     0.500       5.115000     6.49000000          443.149           95.363           54.809
     0.500       5.170000     6.54500000          437.498           94.263           54.223
     0.500       5.225000     6.60000000          431.864           93.166           53.638
     0.500       5.280000     6.65500000          426.247           92.070           53.053
     0.500       5.335000     6.71000000          420.648           90.977           52.468
     0.500       5.390000     6.76500000          415.067           89.886           51.884
     0.500       5.445000     6.82000000          409.504           88.796           51.300
     0.500       5.500000     6.87500000          403.960           87.709           50.717
     0.500       5.555000     6.93000000          398.433           86.625           50.134
     0.500       5.610000     6.98500000          392.926           85.542           49.551
     0.500       5.665000     7.04000000          387.437           84.461           48.969
     0.500       5.720000     7.09500000          381.968           83.383           48.387
     0.500       5.775000     7.15000000          376.517           82.307           47.805
     0.500       5.830000     7.20500000          371.086           81.234           47.224
     0.500       5.885000     7.26000000          365.675           80.163           46.644
     0.500       5.940000     7.31500000          360.283           79.094           46.064
     0.500       5.995000     7.37000000          354.912           78.027           45.484
     0.500       6.050000     7.42500000          349.561           76.963           44.904
     0.500       6.105000     7.48000000          344.230           75.901           44.326
     0.500       6.160000     7.53500000          338.920           74.842           43.747
     0.500       6.215000     7.59000000          333.632           73.786           43.169
     0.500       6.270000     7.64500000          328.364           72.732           42.592
     0.500       6.325000     7.70000000          323.118           71.680           42.015
     0.500       6.380000     7.75500000          317.894           70.631           41.438
     0.500       6.435000     7.81000000          312.692           69.585           40.862
     0.500       6.490000     7.86500000          307.512           68.542           40.286
     0.500       6.545000     7.92000000          302.355           67.501           39.711
     0.500       6.600000     7.97500000          297.221           66.463           39.137
     0.500       6.655000     8.03000000          292.111           65.428           38.563
     0.500       6.710000     8.08500000          287.023           64.395           37.989
     0.500       6.765000     8.14000000          281.960           63.366           37.416
     0.500       6.820000     8.19500000          276.921           62.340           36.844
     0.500       6.875000     8.25000000          271.907           61.316           36.272
     0.500       6.930000     8.30500000          266.918           60.296           35.701
     0.500       6.985000     8.36000000          261.954           59.279           35.130
     0.500       7.040000     8.41500000          257.016           58.265           34.560
     0.500       7.095000     8.47000000          252.104           57.254           33.991
     0.500       7.150000     8.52500000          247.219           56.246           33.422
     0.500       7.205000     8.58000000          242.361           55.242           32.853
     0.500       7.260000     8.63500000          237.530           54.242           32.286
     0.500       7.315000     8.69000000          232.727           53.244           31.719
     0.500       7.370000     8.74500000          227.953           52.251           31.153
     0.500       7.425000     8.80000000          223.208           51.261           30.587
     0.500       7.480000     8.85500000          218.493           50.274           30.022
     0.500       7.535000     8.91000000          213.807           49.292           29.458
     0.500       7.590000     8.96500000          209.153           48.313           28.895
     0.500       7.645000     9.02000000          204.529           47.338           28.332
     0.500       7.700000     9.07500000          199.938           46.368           27.770
     0.500       7.755000     9.13000000          195.379           45.401           27.209
     0.500       7.810000     9.18500000          190.854           44.439           26.649
     0.500       7.865000     9.24000000          186.363           43.481           26.090
     0.500       7.920000     9.29500000          181.907           42.528           25.531
     0.500       7.975000     9.35000000          177.486           41.579           24.974
     0.500       8.030000     9.40500000          173.103           40.635           24.417
     0.500       8.085000     9.46000000          168.757           39.695           23.861
     0.500       8.140000     9.51500000          164.449           38.761           23.306
     0.500       8.195000     9.57000000          160.182           37.832           22.753
     0.500       8.250000     9.62500000          155.955           36.909           22.200
     0.500       8.305000     9.68000000          151.770           35.990           21.649
     0.500       8.360000     9.73500000          147.629           35.078           21.098
     0.500       8.415000     9.79000000          143.532           34.171           20.549
     0.500       8.470000     9.84500000          139.482           33.271           20.001
     0.500       8.525000     9.90000000          135.479           32.377           19.454
     0.500       8.580000     9.95500000          131.527           31.490           18.909
     0.500       8.635000    10.01000000          127.626           30.610           18.365
     0.500       8.690000    10.06500000          123.779           29.737           17.823
     0.500       8.745000    10.12000000          119.988           28.871           17.282
     0.500       8.800000    10.17500000          116.256           28.014           16.743
     0.500       8.855000    10.23000000          112.585           27.166           16.206
     0.500       8.910000    10.28500000          108.980           26.326           15.671
     0.500       8.965000    10.34000000          105.443           25.496           15.137
     0.500       9.020000    10.39500000          101.980           24.676           14.606
     0.500       9.075000    10.45000000           98.594           23.868           14.078
     0.500       9.130000    10.50500000           95.292           23.071           13.552
     0.500       9.185000    10.56000000           92.081           22.288           13.029
     0.500       9.240000    10.61500000           88.968           21.519           12.509
     0.500       9.295000    10.67000000           85.965           20.767           11.993
     0.500       9.350000    10.72500000           83.086           20.033           11.481
     0.500       9.405000    10.78000000           80.347           19.321           10.974
     0.500       9.460000    10.83500000           77.776           18.636           10.474
     0.500       9.515000    10.89000000           75.414           17.985            9.982
     0.500       9.570000    10.94500000           73.339           17.382            9.503
     0.500       9.625000    11.00000000           71.835           16.888            9.055
     1.000       0.000000     1.37500000         1217.323          546.703          128.545
     1.000       0.055000     1.43000000         1209.240          543.408          127.837
     1.000       0.110000     1.48500000         1201.169          540.116          127.130
     1.000       0.165000     1.54000000         1193.110          536.828          126.422
     1.000       0.220000     1.59500000         1185.062          533.541          125.715
     1.000       0.275000     1.65000000         1177.026          530.258          125.008
     1.000       0.330000     1.70500000         1169.002          526.978          124.301
     1.000       0.385000     1.76000000         1160.989          523.701          123.594
     1.000       0.440000     1.81500000         1152.989          520.426          122.887
     1.000       0.495000     1.87000000         1145.000          517.155          122.181
     1.000       0.550000     1.92500000         1137.024          513.886          121.475
     1.000       0.605000     1.98000000         1129.060          510.621          120.769
     1.000       0.660000     2.03500000         1121.107          507.358          120.064
     1.000       0.715000     2.09000000         1113.167          504.099          119.358
     1.000       0.770000     2.14500000         1105.240          500.842          118.653
     1.000       0.825000     2.20000000         1097.324          497.589          117.948
     1.000       0.880000     2.25500000         1089.421          494.338          117.243
     1.000       0.935000     2.31000000         1081.530          491.091          116.539
     1.000       0.990000     2.36500000         1073.652          487.847          115.834
     1.000       1.045000     2.42000000         1065.786          484.606          115.130
     1.000       1.100000     2.47500000         1057.933          481.367          114.426
     1.000       1.155000     2.53000000         1050.093          478.132          113.723
     1.000       1.210000     2.58500000         1042.265          474.901          113.019
     1.000       1.265000     2.64000000         1034.450          471.672          112.316
     1.000       1.320000     2.69500000         1026.648          468.447          111.613
     1.000       1.375000     2.75000000         1018.859          465.224          110.910
     1.000       1.430000     2.80500000         1011.082          462.005          110.208
     1.000       1.485000     2.86000000         1003.319          458.790          109.506
     1.000       1.540000     2.91500000          995.569          455.577          108.804
     1.000       1.595000     2.97000000          987.832          452.368          108.102
     1.000       1.650000     3.02500000          980.108          449.162          107.400
     1.000       1.705000     3.08000000          972.398          445.959          106.699
     1.000       1.760000     3.13500000          964.701          442.760          105.998
     1.000       1.815000     3.19000000          957.017          439.564          105.297
     1.000       1.870000     3.24500000          949.347          436.371          104.596
     1.000       1.925000     3.30000000          941.691          433.182          103.896
     1.000       1.980000     3.35500000          934.048          429.996          103.196
     1.000       2.035000     3.41000000          926.419          426.814          102.496
     1.000       2.090000     3.46500000          918.804          423.635          101.797
     1.000       2.145000     3.52000000          911.202          420.460          101.097
     1.000       2.200000     3.57500000          903.615          417.288          100.398
     1.000       2.255000     3.63000000          896.042          414.119           99.699
     1.000       2.310000     3.68500000          888.482          410.955           99.001
     1.000       2.365000     3.74000000          880.937          407.793           98.303
     1.000       2.420000     3.79500000          873.406          404.636           97.605
     1.000       2.475000     3.85000000          865.890          401.482           96.907
     1.000       2.530000     3.90500000          858.388          398.331           96.209
     1.000       2.585000     3.96000000          850.900          395.184           95.512
     1.000       2.640000     4.01500000          843.428          392.041           94.815
     1.000       2.695000     4.07000000          835.969          388.902           94.119
     1.000       2.750000     4.12500000          828.526          385.766           93.422
     1.000       2.805000     4.18000000          821.098          382.634           92.726
     1.000       2.860000     4.23500000          813.684          379.506           92.030
     1.000       2.915000     4.29000000          806.285          376.382           91.335
     1.000       2.970000     4.34500000          798.902          373.262           90.640
     1.000       3.025000     4.40000000          791.534          370.145           89.945
     1.000       3.080000     4.45500000          784.181          367.032           89.250
     1.000       3.135000     4.51000000          776.844          363.924           88.556
     1.000       3.190000     4.56500000          769.522          360.819           87.861
     1.000       3.245000     4.62000000          762.216          357.718           87.168
     1.000       3.300000     4.67500000          754.925          354.621           86.474
     1.000       3.355000     4.73000000          747.651          351.528           85.781
     1.000       3.410000     4.78500000          740.392          348.440           85.088
     1.000       3.465000     4.84000000          733.149          345.355           84.396
     1.000       3.520000     4.89500000          725.923          342.275           83.703
     1.000       3.575000     4.95000000          718.713          339.198           83.011
     1.000       3.630000     5.00500000          711.519          336.126           82.320
     1.000       3.685000     5.06000000          704.341          333.058           81.628
     1.000       3.740000     5.11500000          697.181          329.995           80.937
     1.000       3.795000     5.17000000          690.036          326.935           80.247
     1.000       3.850000     5.22500000          682.909          323.880           79.556
     1.000       3.905000     5.28000000          675.799          320.829           78.866
     1.000       3.960000     5.33500000          668.706          317.783           78.177
     1.000       4.015000     5.39000000          661.630          314.741           77.487
     1.000       4.070000     5.44500000          654.571          311.704           76.798
     1.000       4.125000     5.50000000          647.530          308.671           76.109
     1.000       4.180000     5.55500000          640.506          305.643           75.421
     1.000       4.235000     5.61000000          633.500          302.619           74.733
     1.000       4.290000     5.66500000          626.512          299.600           74.045
     1.000       4.345000     5.72000000          619.542          296.586           73.358
     1.000       4.400000     5.77500000          612.590          293.576           72.671
     1.000       4.455000     5.83000000          605.656          290.571           71.985
     1.000       4.510000     5.88500000          598.741          287.571           71.298
     1.000       4.565000     5.94000000          591.844          284.575           70.613
     1.000       4.620000     5.99500000          584.966          281.585           69.927
     1.000       4.675000     6.05000000          578.107          278.599           69.242
     1.000       4.730000     6.10500000          571.267          275.619           68.557
     1.000       4.785000     6.16000000          564.446          272.643           67.873
     1.000       4.840000     6.21500000          557.644          269.673           67.189
     1.000       4.895000     6.27000000          550.862          266.707           66.506
     1.000       4.950000     6.32500000          544.099          263.747           65.822
     1.000       5.005000     6.38000000          537.357          260.792           65.140
     1.000       5.060000     6.43500000          530.634          257.842           64.457
     1.000       5.115000     6.49000000          523.932          254.898           63.775
     1.000       5.170000     6.54500000          517.250          251.959           63.094
     1.000       5.225000     6.60000000          510.589          249.025           62.413
     1.000       5.280000     6.65500000          503.948          246.097           61.732
     1.000       5.335000     6.71000000          497.329          243.175           61.052
     1.000       5.390000     6.76500000          490.731          240.258           60.372
     1.000       5.445000     6.82000000          484.154          237.346           59.693
     1.000       5.500000     6.87500000          477.598          234.441           59.014
     1.000       5.555000     6.93000000          471.065          231.541           58.335
     1.000       5.610000     6.98500000          464.553          228.647           57.657
     1.000       5.665000     7.04000000          458.064          225.760           56.980
     1.000       5.720000     7.09500000          451.597          222.878           56.303
     1.000       5.775000     7.15000000          445.153          220.002           55.626
     1.000       5.830000     7.20500000          438.732          217.132           54.950
     1.000       5.885000     7.26000000          432.334          214.269           54.275
     1.000       5.940000     7.31500000          425.960          211.412           53.599
     1.000       5.995000     7.37000000          419.610          208.561           52.925
     1.000       6.050000     7.42500000          413.283          205.717           52.251
